Symbol,Bid,Ask,Price,Chg ($),Chg (%),Open,High,Low,Volume
VSLR,,,,,,,,,
BNED,4.65,4.84,4.84,-0.61,-11.19,5.43,5.53,4.84,563.27K
GCI,2.84,2.92,2.9,-0.29,-9.09,3.1,3.18,2.84,2.72M
NSANF,3.42,7.42,5.19,-0.24,-4.42,5.39,5.39,5.19,1.30K
CYDY,4.5,7.25,4.96,-0.195,-3.79,5.25,5.35,4.95,3.91M
MVIS,6.22,6.29,6.18,-0.14,-2.22,6.01,6.63,5.97,14.59M
PINS,67.01,67.17,67.14,-1.15,-1.68,68.33,68.53,65.92,8.64M
CAKE,36.45,36.56,36.47,-0.51,-1.38,36.98,37.6,36.12,558.55K
BBBY,18.55,18.82,18.65,-0.18,-0.96,18.85,19.38,18.56,5.41M
WSM,102.2,105,103.47,-0.89,-0.85,104.54,106.51,103.15,561.74K
KHC,34.6,34.72,34.67,-0.23,-0.66,34.9,35.03,34.64,2.44M
TUP,32.18,33,32.14,-0.18,-0.56,32.25,32.44,31.51,557.17K
EVBG,144.08,151.15,146.5,-0.7,-0.48,149.04,149.61,146.05,202.36K
ROKU,338.75,339.49,338.74,-0.83,-0.24,339.167,344.4399,333.5,3.22M
R,52.25,66,62.57,-0.11,-0.18,62.66,63.41,62.53,248.34K
BAC,29.97,29.99,29.98,-0.03,-0.1,30,30.22,29.94,26.37M
IQ,17.55,17.6,17.54,-0.01,-0.06,17.55,17.74,17.2,8.68M
CRVS,3.71,3.78,3.77,0,0,3.76,3.82,3.7,110.09K
CTL,10.93,11.25,11,0,0,--,--,--,--
BLUE,44.11,44.98,44.11,0.01,0.02,44.43,45.25,43.3193,872.62K
GVI,88.08999,149.83,117.59999,0.05,0.04,117.25,117.59999,117.25,65.29K
BCOV,18.25,18.33,18.33,0.02,0.11,18.655,18.75,17.89,217.42K
TMUS,133.04,134,133.28,0.14,0.11,133.52,133.83,132.51,1.67M
ATVI,91.27,91.97,91.58,0.21,0.23,91.75,92.6,91.43,2.69M
JPM,125.4,125.51,125.36,0.35,0.28,125.49,125.85,124.9,7.40M
O,61.2,61.35,61.28,0.31,0.51,61.02,61.99,60.91,1.41M
HQY,69.47,71.29,69.47,0.36,0.52,69.33,70.99,68.675,616.41K
BBGI,1.55,1.58,1.55,0.01,0.65,1.52,1.57,1.52,202.20K
NEXCF,5.2,5.26,5.25,0.04,0.77,5.21,5.32,5.2,225.91K
EA,142.05,142.7,142.05,1.35,0.96,141.39,142.63,140.89,1.68M
USCR,39.41,41.41,39.39,0.38,0.97,39.04,40.33,39.04,157.13K
NR,1.81,1.95,1.91,0.02,1.06,1.86,1.94,1.86,326.09K
LVS,58.75,58.88,58.74,0.63,1.08,58.4,59.39,58.13,2.18M
AXP,119.28,119.62,119.43,1.29,1.09,118.25,119.95,118.15,1.95M
NEM,60.46,60.68,60.39,0.66,1.1,59.86,60.41,59.55,3.54M
ZNGA,9.71,9.72,9.72,0.11,1.14,9.58,9.77,9.56,11.17M
FFG,47.5,55,52.93,0.63,1.2,52.2,53.37,52.2,41.36K
NTDOY,80,81.88,80.72,1.06,1.33,80,82.37,79.885,339.10K
PCRFF,11.5,13.09,11.73,0.155,1.34,11.93,11.93,11.64,7.09K
MAT,17.51,17.6,17.51,0.24,1.39,17.28,17.54,17.28,1.44M
QDEL,183.7,185.1,184.91,3.73,2.06,182,185.33,180.31,450.23K
EVC,2.72,2.9,2.84,0.06,2.16,2.8,2.89,2.79,162.38K
TDOC,203.41,204.5,203.57,4.59,2.31,202,204.79,199.5,1.63M
SLB,21.77,21.98,21.88,0.5,2.34,21.42,21.98,21.29,7.08M
CTRA,8,15,11.57,0.29,2.57,11.33,11.79,11.12,55.02K
UA,14.56,15.12,15.08,0.43,2.94,14.73,15.13,14.72,2.88M
GT,10.55,10.63,10.63,0.315,3.05,10.29,10.65,10.255,2.70M
STON,2.33,2.69,2.46,0.08,3.36,2.36,2.51,2.3,185.91K
TSQ,6.46,6.9,6.9,0.23,3.45,6.67,6.9,6.62,40.33K
TTI,0.87,0.89,0.88,0.03,3.53,0.85,0.89,0.85,600.48K
SPWR,26.01,26.15,25.89,1.16,4.69,25.25,26.92,25.11,8.00M
AR,5.35,5.54,5.52,0.26,4.94,5.27,5.56,5.27,5.72M
PLUG,34.79,34.8,34.19,1.73,5.33,33.14,34.4,32.56,24.35M
LKCO,0.753,0.7699,0.75,0.04,5.63,0.72,0.8,0.71,1.78M
CLVS,4.91,4.92,4.92,0.47,10.56,4.51,4.93,4.4801,6.99M
BIDU,224.07,224.35,219.63,24.56,12.59,198.1,220.6,198.05,25.43M
